SampleID,Sample,ShortID,Index,Dilution,SampleGroup_letter,OriginalSample,LIbraryType,Kit,InputDNA,SampleGroup,Raw_reads,AMR_hits,Type
A_A01,A_A01,A_A1,G01,1:2 dilution,A,AFe9,XT,XT,200ng,Avian fecal,52537176,1245281,TE
A_A02,A_A02,A_A2,H01,1:5 dilution,A,AFe20,XT,XT,200ng,Avian fecal,26006029,1220807,TE
A_A03,A_A03,A_A3,B02,1:5 dilution,A,AFe25,XT,XT,200ng,Avian fecal,23376799,1125488,TE
A_A05,A_A05,A_A5,A05,1:3 dilution,A,AFe9,XT,XT,400ng,Avian fecal,37466601,1211756,TE
A_A06,A_A06,A_A6,D05,1:5 dilution,A,AFe20,XT,XT,400ng,Avian fecal,35735680,1361429,TE
A_A07,A_A07,A_A7,E05,1:5 dilution,A,AFe25,XT,XT,400ng,Avian fecal,35978034,1264286,TE
A_A08,A_A08,A_A8,H05,1:5 dilution,A,AFe36,XT,XT,400ng,Avian fecal,37491327,1379975,TE
A_A09,A_A09,A_A9,G08,Standard,A,AFe9,XT,XT,800ng,Avian fecal,34406245,1222170,TE
A_A10,A_A10,A_A10,H08,1:3 dilution,A,AFe20,XT,XT,800ng,Avian fecal,32243203,1345477,TE
A_A11,A_A11,A_A11,A09,1:3 dilution,A,AFe25,XT,XT,800ng,Avian fecal,32081209,1239996,TE
A_A12,A_A12,A_A12,B09,1:5 dilution,A,AFe36,XT,XT,800ng,Avian fecal,34294594,1376027,TE
A_A13,A_A13,A_A13,E01,1:2 dilution,A,AFe9,XT_HS,XT HS,200ng,Avian fecal,28450918,1049402,TE
A_A14,A_A14,A_A14,F01,1:3 dilution,A,AFe20,XT_HS,XT HS,200ng,Avian fecal,31300350,1221284,TE
A_A15,A_A15,A_A15,G01,1:3 dilution,A,AFe25,XT_HS,XT HS,200ng,Avian fecal,27719099,1156904,TE
A_A16,A_A16,A_A16,H01,1:2 dilution,A,AFe36,XT_HS,XT HS,200ng,Avian fecal,34320266,1311273,TE
A_A17,A_A17,A_A17,E03,Standard,A,AFe9,XT_HS,XT HS,400ng,Avian fecal,32942994,1110339,TE
A_A18,A_A18,A_A18,F03,1:2 dilution,A,AFe20,XT_HS,XT HS,400ng,Avian fecal,25958507,1214931,TE
A_A19,A_A19,A_A19,G03,1:2 dilution,A,AFe25,XT_HS,XT HS,400ng,Avian fecal,22740354,1085586,TE
A_A20,A_A20,A_A20,H03,1:2 dilution,A,AFe36,XT_HS,XT HS,400ng,Avian fecal,30749787,1280193,TE
A_A21,A_A21,A_A21,G01,Standard,A,AFe9,XT_HS,XT HS,800ng,Avian fecal,32021444,1112350,TE
A_A22,A_A22,A_A22,H01,1:2 dilution,A,AFe20,XT_HS,XT HS,800ng,Avian fecal,31258243,1268315,TE
A_A23,A_A23,A_A23,A02,1:2 dilution,A,AFe25,XT_HS,XT HS,800ng,Avian fecal,20076547,1050693,TE
A_A24,A_A24,A_A24,B02,1:2 dilution,A,AFe36,XT_HS,XT HS,800ng,Avian fecal,26781859,1218707,TE
A_B1,A_B1,A_B1,A01,1:3 dilution,B,BFe2,XT,XT,200ng,Bovine fecal,27090865,1002553,TE
A_B10,A_B10,A_B10,B08,1:2 dilution,B,BFe11,XT,XT,800ng,Bovine fecal,30944386,1153225,TE
A_B11,A_B11,A_B11,D08,1:3 dilution,B,BFe13,XT,XT,800ng,Bovine fecal,26760944,1100392,TE
A_B12,A_B12,A_B12,E08,1:2 dilution,B,BFe39,XT,XT,800ng,Bovine fecal,28330024,875192,TE
A_B13,A_B13,A_B13,A01,1:2 dilution,B,BFe2,XT_HS,XT HS,200ng,Bovine fecal,22361123,920700,TE
A_B14,A_B14,A_B14,B01,Standard,B,BFe11,XT_HS,XT HS,200ng,Bovine fecal,29999168,987143,TE
A_B15,A_B15,A_B15,C01,Standard,B,BFe13,XT_HS,XT HS,200ng,Bovine fecal,32280849,1048569,TE
A_B16,A_B16,A_B16,D01,Standard,B,BFe39,XT_HS,XT HS,200ng,Bovine fecal,37936274,868075,TE
A_B17,A_B17,A_B17,A03,Standard,B,BFe2,XT_HS,XT HS,400ng,Bovine fecal,29464174,1046059,TE
A_B18,A_B18,A_B18,B03,Standard,B,BFe11,XT_HS,XT HS,400ng,Bovine fecal,29012321,1042770,TE
A_B19,A_B19,A_B19,C03,Standard,B,BFe13,XT_HS,XT HS,400ng,Bovine fecal,30144312,1055650,TE
A_B2,A_B2,A_B2,B01,1:3 dilution,B,BFe11,XT,XT,200ng,Bovine fecal,31932787,1012324,TE
A_B20,A_B20,A_B20,D03,Standard,B,BFe39,XT_HS,XT HS,400ng,Bovine fecal,32881197,924150,TE
A_B21,A_B21,A_B21,C01,Standard,B,BFe2,XT_HS,XT HS,800ng,Bovine fecal,31522417,1066895,TE
A_B22,A_B22,A_B22,D01,Standard,B,BFe11,XT_HS,XT HS,800ng,Bovine fecal,28363056,1018421,TE
A_B23,A_B23,A_B23,E01,Standard,B,BFe13,XT_HS,XT HS,800ng,Bovine fecal,30108853,1049931,TE
A_B24,A_B24,A_B24,F01,Standard,B,BFe39,XT_HS,XT HS,800ng,Bovine fecal,35151561,955592,TE
A_B3,A_B3,A_B3,D01,1:3 dilution,B,BFe13,XT,XT,200ng,Bovine fecal,31578558,1071141,TE
A_B4,A_B4,A_B4,E01,1:3 dilution,B,BFe39,XT,XT,200ng,Bovine fecal,31640757,848448,TE
A_B5,A_B5,A_B5,B04,1:2 dilution,B,BFe2,XT,XT,400ng,Bovine fecal,28581576,1034302,TE
A_B6,A_B6,A_B6,C04,1:2 dilution,B,BFe11,XT,XT,400ng,Bovine fecal,36674449,1101811,TE
A_B7,A_B7,A_B7,E04,1:2 dilution,B,BFe13,XT,XT,400ng,Bovine fecal,33227452,925487,TE
A_B9,A_B9,A_B9,A08,1:2 dilution,B,BFe2,XT,XT,800ng,Bovine fecal,32111524,1112223,TE
A_H1,A_H1,A_H1,A03,Standard,H,HBHw1,XT,XT,200ng,Human wastewater,31016217,532218,TE
A_H10,A_H10,A_H10,H09,Standard,H,HBHw2,XT,XT,800ng,Human wastewater,34134092,671110,TE
A_H11,A_H11,A_H11,A10,1:2 dilution,H,HBHw3,XT,XT,800ng,Human wastewater,28235044,604786,TE
A_H12,A_H12,A_H12,D10,1:2 dilution,H,HBHw4,XT,XT,800ng,Human wastewater,31681516,667695,TE
A_H13,A_H13,A_H13,E02,Standard,H,HBHw1,XT_HS,XT HS,200ng,Human wastewater,30233923,577049,TE
A_H14,A_H14,A_H14,F02,Standard,H,HBHw2,XT_HS,XT HS,200ng,Human wastewater,24398193,545543,TE
A_H15,A_H15,A_H15,G02,Standard,H,HBHw3,XT_HS,XT HS,200ng,Human wastewater,22219435,488334,TE
A_H16,A_H16,A_H16,H02,Standard,H,HBHw4,XT_HS,XT HS,200ng,Human wastewater,26480651,534847,TE
A_H17,A_H17,A_H17,G04,Standard,H,HBHw1,XT_HS,XT HS,400ng,Human wastewater,29241158,605189,TE
A_H18,A_H18,A_H18,H04,Standard,H,HBHw2,XT_HS,XT HS,400ng,Human wastewater,31705686,646598,TE
A_H19,A_H19,A_H19,A01,Standard,H,HBHw3,XT_HS,XT HS,400ng,Human wastewater,24512331,553009,TE
A_H2,A_H2,A_H2,B03,Standard,H,HBHw2,XT,XT,200ng,Human wastewater,31603031,450470,TE
A_H20,A_H20,A_H20,B01,Standard,H,HBHw4,XT_HS,XT HS,400ng,Human wastewater,26674893,576113,TE
A_H21,A_H21,A_H21,G02,Standard,H,HBHw1,XT_HS,XT HS,800ng,Human wastewater,26384858,571726,TE
A_H22,A_H22,A_H22,H02,Standard,H,HBHw2,XT_HS,XT HS,800ng,Human wastewater,22794458,569493,TE
A_H23,A_H23,A_H23,A03,Standard,H,HBHw3,XT_HS,XT HS,800ng,Human wastewater,24321730,584264,TE
A_H24,A_H24,A_H24,B03,Standard,H,HBHw4,XT_HS,XT HS,800ng,Human wastewater,25831421,565116,TE
A_H3,A_H3,A_H3,D03,Standard,H,HBHw3,XT,XT,200ng,Human wastewater,32341873,439131,TE
A_H4,A_H4,A_H4,A04,Standard,H,HBHw4,XT,XT,200ng,Human wastewater,26429444,340853,TE
A_H5,A_H5,A_H5,A07,Standard,H,HBHw1,XT,XT,400ng,Human wastewater,30404299,599836,TE
A_H6,A_H6,A_H6,D07,Standard,H,HBHw2,XT,XT,400ng,Human wastewater,34862846,622430,TE
A_H7,A_H7,A_H7,G07,1:2 dilution,H,HBHw3,XT,XT,400ng,Human wastewater,31171489,442359,TE
A_H8,A_H8,A_H8,H07,Standard,H,HBHw4,XT,XT,400ng,Human wastewater,29442422,486154,TE
A_H9,A_H9,A_H9,G09,Standard,H,HBHw1,XT,XT,800ng,Human wastewater,37522426,687034,TE
A_P1,A_P1,A_P1,D02,1:3 dilution,P,PFe13,XT,XT,200ng,Porcine fecal,28241930,1036079,TE
A_P10,A_P10,A_P10,D09,1:5 dilution,P,PFe16,XT,XT,800ng,Porcine fecal,28508540,1274330,TE
A_P11,A_P11,A_P11,E09,1:3 dilution,P,PFe22,XT,XT,800ng,Porcine fecal,31899139,1194077,TE
A_P12,A_P12,A_P12,F09,1:5 dilution,P,PFe37,XT,XT,800ng,Porcine fecal,28207352,1235865,TE
A_P13,A_P13,A_P13,A02,1:2 dilution,P,PFe13,XT_HS,XT HS,200ng,Porcine fecal,28411743,1036439,TE
A_P14,A_P14,A_P14,B02,Standard,P,PFe16,XT_HS,XT HS,200ng,Porcine fecal,40597737,1208035,TE
A_P15,A_P15,A_P15,C02,Standard,P,PFe22,XT_HS,XT HS,200ng,Porcine fecal,36517449,1111351,TE
