SampleID,Type,Dilution,Kit,InputDNA,SampleGroup,Raw_reads,AMR_hits,Observed,Shannon,Simpson,InvSimpson
A_A01,TE,1:2 dilution,XT,200ng,Avian fecal,52537176,1245281,362,4.772010339,0.976295346,42.18580956
A_A02,TE,1:5 dilution,XT,200ng,Avian fecal,26006029,1220807,392,4.917931293,0.981932174,55.34700234
A_A03,TE,1:5 dilution,XT,200ng,Avian fecal,23376799,1125488,373,4.920523014,0.980878534,52.29724423
A_A05,TE,1:3 dilution,XT,400ng,Avian fecal,37466601,1211756,360,4.76557939,0.975865561,41.43456645
A_A06,TE,1:5 dilution,XT,400ng,Avian fecal,35735680,1361429,416,4.895527486,0.980456303,51.16739222
A_A07,TE,1:5 dilution,XT,400ng,Avian fecal,35978034,1264286,397,4.926813353,0.981281046,53.42178856
A_A08,TE,1:5 dilution,XT,400ng,Avian fecal,37491327,1379975,366,4.814566825,0.978875445,47.33827541
A_A09,TE,Standard,XT,800ng,Avian fecal,34406245,1222170,369,4.780986033,0.976367374,42.31438344
A_A10,TE,1:3 dilution,XT,800ng,Avian fecal,32243203,1345477,411,4.897704759,0.980691461,51.7905569
A_A11,TE,1:3 dilution,XT,800ng,Avian fecal,32081209,1239996,393,4.920670541,0.981358645,53.64416972
A_A12,TE,1:5 dilution,XT,800ng,Avian fecal,34294594,1376027,369,4.814948743,0.979058313,47.7516445
A_A13,TE,1:2 dilution,XT HS,200ng,Avian fecal,28450918,1049402,348,4.695438891,0.974095256,38.60296837
A_A14,TE,1:3 dilution,XT HS,200ng,Avian fecal,31300350,1221284,386,4.850887358,0.980116364,50.29261357
A_A15,TE,1:3 dilution,XT HS,200ng,Avian fecal,27719099,1156904,371,4.864255023,0.980023599,50.05906809
A_A16,TE,1:2 dilution,XT HS,200ng,Avian fecal,34320266,1311273,357,4.74874447,0.977623291,44.68932383
A_A17,TE,Standard,XT HS,400ng,Avian fecal,32942994,1110339,350,4.712844384,0.97485567,39.77039809
A_A18,TE,1:2 dilution,XT HS,400ng,Avian fecal,25958507,1214931,384,4.847044334,0.980411291,51.04981778
A_A19,TE,1:2 dilution,XT HS,400ng,Avian fecal,22740354,1085586,355,4.863270666,0.980183169,50.46215425
A_A20,TE,1:2 dilution,XT HS,400ng,Avian fecal,30749787,1280193,352,4.751987928,0.977805588,45.05638604
A_A21,TE,Standard,XT HS,800ng,Avian fecal,32021444,1112350,351,4.723329074,0.975408651,40.66470675
A_A22,TE,1:2 dilution,XT HS,800ng,Avian fecal,31258243,1268315,390,4.847283835,0.980290204,50.73619215
A_A23,TE,1:2 dilution,XT HS,800ng,Avian fecal,20076547,1050693,356,4.869167553,0.980235221,50.59504994
A_A24,TE,1:2 dilution,XT HS,800ng,Avian fecal,26781859,1218707,350,4.763737161,0.978196231,45.86363109
A_B1,TE,1:3 dilution,XT,200ng,Bovine fecal,27090865,1002553,341,4.591271469,0.971797785,35.45820798
A_B10,TE,1:2 dilution,XT,800ng,Bovine fecal,30944386,1153225,340,4.627106266,0.972071387,35.80557323
A_B11,TE,1:3 dilution,XT,800ng,Bovine fecal,26760944,1100392,341,4.34299402,0.958317045,23.99062184
A_B12,TE,1:2 dilution,XT,800ng,Bovine fecal,28330024,875192,280,4.541830756,0.969149918,32.41482447
A_B13,TE,1:2 dilution,XT HS,200ng,Bovine fecal,22361123,920700,313,4.491101978,0.967296691,30.57794536
A_B14,TE,Standard,XT HS,200ng,Bovine fecal,29999168,987143,331,4.57461311,0.970301695,33.67195503
A_B15,TE,Standard,XT HS,200ng,Bovine fecal,32280849,1048569,326,4.28993879,0.956398721,22.93510701
A_B16,TE,Standard,XT HS,200ng,Bovine fecal,37936274,868075,289,4.556050618,0.971057096,34.55078341
A_B17,TE,Standard,XT HS,400ng,Bovine fecal,29464174,1046059,319,4.501593899,0.968312058,31.55774508
A_B18,TE,Standard,XT HS,400ng,Bovine fecal,29012321,1042770,318,4.580957344,0.970738782,34.17492792
A_B19,TE,Standard,XT HS,400ng,Bovine fecal,30144312,1055650,295,4.563362169,0.970167833,33.52086397
A_B2,TE,1:3 dilution,XT,200ng,Bovine fecal,31932787,1012324,326,4.373488389,0.960480903,25.30422211
A_B20,TE,Standard,XT HS,400ng,Bovine fecal,32881197,924150,292,4.55572546,0.971520666,35.11318068
A_B21,TE,Standard,XT HS,800ng,Bovine fecal,31522417,1066895,298,4.501756366,0.968581601,31.82848376
A_B22,TE,Standard,XT HS,800ng,Bovine fecal,28363056,1018421,318,4.593714196,0.971345157,34.89811453
A_B23,TE,Standard,XT HS,800ng,Bovine fecal,30108853,1049931,336,4.40872892,0.962562162,26.71094435
A_B24,TE,Standard,XT HS,800ng,Bovine fecal,35151561,955592,334,4.489103833,0.966581148,29.92323035
A_B3,TE,1:3 dilution,XT,200ng,Bovine fecal,31578558,1071141,334,4.581961111,0.970063545,33.40408873
A_B4,TE,1:3 dilution,XT,200ng,Bovine fecal,31640757,848448,341,4.250169139,0.954422982,21.94088267
A_B5,TE,1:2 dilution,XT,400ng,Bovine fecal,28581576,1034302,297,4.583719589,0.971210314,34.73466157
A_B6,TE,1:2 dilution,XT,400ng,Bovine fecal,36674449,1101811,346,4.548998216,0.969522771,32.81138159
A_B7,TE,1:2 dilution,XT,400ng,Bovine fecal,33227452,925487,327,4.588338378,0.970012239,33.34693728
A_B9,TE,1:2 dilution,XT,800ng,Bovine fecal,32111524,1112223,313,4.610175848,0.972683639,36.60809721
A_H1,TE,Standard,XT,200ng,Human wastewater,31016217,532218,487,4.232070621,0.966939227,30.24732678
A_H10,TE,Standard,XT,800ng,Human wastewater,34134092,671110,462,4.226727581,0.96790129,31.15390019
A_H11,TE,1:2 dilution,XT,800ng,Human wastewater,28235044,604786,480,4.244789214,0.967535685,30.80305231
A_H12,TE,1:2 dilution,XT,800ng,Human wastewater,31681516,667695,422,4.087841838,0.964420314,28.105925
A_H13,TE,Standard,XT HS,200ng,Human wastewater,30233923,577049,423,4.074157951,0.964377823,28.07239975
A_H14,TE,Standard,XT HS,200ng,Human wastewater,24398193,545543,403,4.082429965,0.965539754,29.01894584
A_H15,TE,Standard,XT HS,200ng,Human wastewater,22219435,488334,415,4.075100875,0.964381899,28.07561218
A_H16,TE,Standard,XT HS,200ng,Human wastewater,26480651,534847,419,4.043369667,0.962826268,26.90071607
A_H17,TE,Standard,XT HS,400ng,Human wastewater,29241158,605189,424,4.071032654,0.963101382,27.10128622
A_H18,TE,Standard,XT HS,400ng,Human wastewater,31705686,646598,406,4.07099765,0.963681345,27.53405899
A_H19,TE,Standard,XT HS,400ng,Human wastewater,24512331,553009,434,4.158790251,0.966756515,30.08108228
A_H2,TE,Standard,XT,200ng,Human wastewater,31603031,450470,409,4.112524159,0.964723752,28.34768561
A_H20,TE,Standard,XT HS,400ng,Human wastewater,26674893,576113,409,4.067649868,0.96374649,27.58353595
