gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425656,SRR4425684,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_7041|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0
MEG_1275|Drugs|betalactams|Class_C_betalactamases|BLAEC,0,0,0,125.0,0,0,0,0,55.0,0,43.0,17.0,0,0,0,0
MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,171.0,426.0,0,9.0,0,646.0,363.0,417.0,876.0,0,0,561.0,494.0
MEG_996|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,0,522.0,234.0,75.0,0,0,48.0,1363.0,1222.0,65.0,0,0,161.0,1445.0
MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,232.0,0,344.0,1108.0,676.0,0,0,1765.0,766.0,1125.0,2036.0,0,860.0,1963.0,1125.0
MEG_4290|Drugs|betalactams|Mutant_porin_proteins|OMPR,0,0,0,0,0,0,0,292.0,0,0,0,0,408.0,0,0,0
MEG_757|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,0,0
MEG_5389|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,1144.0,968.0,0,0,0,0,1264.0,0,0,0
MEG_5148|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,297.0,0,0,0,0,0,0,0,0
MEG_2900|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,0,0,0,50.0,114.0,0,0,0,115.0,49.0,41.0,45.0,0,0,308.0,76.0
MEG_2791|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,133.0,214.0,0,0,0,738.0,234.0,321.0,926.0,0,0,394.0,280.0
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,1759.0,2055.0,696.0,2255.0,6015.0,4959.0,1474.0,1659.0,6842.0,4671.0,4516.0,7210.0,1808.0,5715.0,11702.0,5742.0
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,0,0,0,74.0,197.0,0,0,0,164.0,146.0,129.0,120.0,0,0,690.0,229.0
MEG_3082|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,0,0,0,0,29.0,0,0,0,133.0,0,0,21.0,0,0,0,0
MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,2562.0,0,0,0,4260.0,0,0,4223.0,0,0,6300.0,0
