gene_accession,SRR4425689,SRR4425695,SRR4425691,SRR4425688,SRR4425683,SRR4425684,SRR4425690,SRR4425694,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_6960|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW,3.0,0.0,0.0,0.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,168.0,0.0
MEG_6545|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,0.0,48.0,0.0,13.0,124.0,151.0,11.0,0.0,0.0,98.0,66.0,57.0,0.0,0.0,423.0,107.0
MEG_5363|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_1705|Metals|Chromium_resistance|Chromium_resistance_protein|CHRA,0.0,0.0,18.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,1306.0,4361.0,0.0,1703.0,109.0,0.0,4676.0,18.0,0.0,10516.0,8491.0,30.0,25.0,3840.0,139.0,9882.0
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0
MEG_3883|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,0.0,0.0,28.0,0.0,0.0,0.0,0.0,57.0,49.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0
MEG_7170|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,84.0,476.0,0.0,69.0,212.0,155.0,237.0,0.0,0.0,921.0,872.0,385.0,0.0,264.0,418.0,1019.0
MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,64.0,122.0,0.0,79.0,739.0,34.0,207.0,0.0,0.0,585.0,316.0,414.0,0.0,251.0,269.0,822.0
MEG_7043|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0
MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP,397.0,0.0,0.0,494.0,615.0,214.0,1609.0,0.0,0.0,155.0,406.0,173.0,0.0,2279.0,2828.0,448.0
MEG_2772|Drugs|MLS|23S_rRNA_methyltransferases|ERM,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,17.0,54.0,0.0,0.0,18.0,0.0,0.0
MEG_7093|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,0.0,0.0,0.0,0.0,110.0,106.0,0.0,0.0,0.0,732.0,904.0,178.0,0.0,0.0,310.0,987.0
MEG_1745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEF,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,1006.0,0.0,0.0,0.0,1049.0,0.0,0.0,0.0
MEG_42|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,0.0,0.0,0.0,22.0,46.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,12.0,0.0
MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA,0.0,64.0,0.0,0.0,124.0,172.0,0.0,0.0,0.0,85.0,75.0,65.0,0.0,0.0,377.0,112.0
MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0.0,341.0,0.0,131.0,0.0,0.0,339.0,0.0,0.0,927.0,901.0,0.0,0.0,282.0,101.0,1095.0
MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0
MEG_7235|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,0.0,695.0,0.0,0.0,161.0,0.0,192.0,0.0,0.0,1369.0,1401.0,0.0,0.0,0.0,0.0,1591.0
MEG_3857|Metals|Mercury_resistance|Mercury_resistance_protein|MERC,0.0,17.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,42.0,18.0,22.0,0.0,0.0,32.0,11.0
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,0.0,56.0,0.0,12.0,138.0,144.0,13.0,0.0,0.0,71.0,91.0,67.0,0.0,0.0,482.0,87.0
MEG_6998|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,632.0,1049.0,0.0,561.0,565.0,149.0,1942.0,0.0,0.0,3824.0,4857.0,258.0,0.0,2135.0,483.0,4203.0
MEG_1175|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,0.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,15.0,0.0
MEG_5343|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6974|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33,0.0,0.0,0.0,0.0,18.0,65.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,28.0,0.0
MEG_2897|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,0.0,0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,45.0,18.0,36.0,0.0,0.0,110.0,28.0
MEG_1082|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,0.0,0.0,0.0,0.0,24.0,56.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,27.0,0.0
MEG_7212|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,114.0,482.0,0.0,115.0,286.0,180.0,400.0,0.0,0.0,1080.0,885.0,456.0,0.0,382.0,498.0,1188.0
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MEG_2795|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,197.0,0.0,0.0,208.0,274.0,0.0,0.0,0.0,321.0,429.0,385.0,0.0,0.0,276.0,512.0
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,0.0,122.0,0.0,0.0,384.0,505.0,25.0,0.0,0.0,218.0,161.0,184.0,0.0,0.0,1006.0,273.0
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,0.0,121.0,0.0,0.0,257.0,345.0,14.0,0.0,0.0,147.0,109.0,149.0,0.0,0.0,801.0,225.0
MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC,0.0,178.0,0.0,12.0,188.0,356.0,15.0,0.0,0.0,147.0,137.0,146.0,0.0,8.0,675.0,193.0
MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,0.0,73.0,0.0,0.0,153.0,173.0,0.0,0.0,0.0,84.0,67.0,63.0,0.0,0.0,441.0,140.0
MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,0.0,6.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,7.0,6.0,8.0,0.0,0.0,41.0,6.0
MEG_6580|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
MEG_1558|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,223.0,366.0,0.0,335.0,1660.0,86.0,565.0,0.0,0.0,1164.0,725.0,864.0,0.0,831.0,591.0,1840.0
MEG_5178|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
