gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425684,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,0,0,0,158.0,270.0,0,0,382.0,0,166.0,200.0,132.0,0,0,871.0,267.0
MEG_5424|Metals|Copper_resistance|Copper_resistance_regulator|PCOR,0,0,0,0,75.0,0,0,35.0,0,66.0,44.0,16.0,0,0,186.0,58.0
MEG_7028|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0
MEG_1155|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0,0,0,0,35.0,0,0,31.0,0,0,0,44.0,0,0,49.0,0
MEG_6106|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,1422.0,0,0,1326.0,0,0,240.0,1551.0,0,0,2365.0,0
MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,0,0,0,71.0,187.0,0,0,218.0,0,107.0,70.0,82.0,0,0,488.0,100.0
MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,0,0,0,0,0,0,0,11.0,0,7.0,5.0,0,0,0,39.0,11.0
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0
MEG_996|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,0,369.0,185.0,68.0,0,44.0,0,732.0,691.0,60.0,0,0,133.0,762.0
MEG_8445|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,67.0,116.0,0,0,107.0,0,82.0,68.0,47.0,0,0,332.0,143.0
