Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,Library_Prep_Assay,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SampleID,SRA Study,create_date,version
SRR4425656,OTHER,252,9561021876,PRJNA339554,SAMN05597078,Metagenome or environmental,3447101664,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247582,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeC,shotgun metagenomics with standard library prep,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeC,WWTPC,SRP091614,2016-10-16T14:39:00Z,1
SRR4425657,OTHER,252,13885957512,PRJNA339554,SAMN05597112,Metagenome or environmental,5162796565,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247583,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeUMIA,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeUMIA,BeefA,SRP091614,2016-10-16T14:47:00Z,1
SRR4425658,OTHER,252,14526642816,PRJNA339554,SAMN05597113,Metagenome or environmental,5437915612,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247584,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeUMIB,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeUMIB,BeefB,SRP091614,2016-10-16T14:48:00Z,1
SRR4425659,OTHER,252,19428995880,PRJNA339554,SAMN05597104,Metagenome or environmental,7058670074,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247585,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeA,"pre-sequencing capture of resistance and virulence genes, standard library prep",PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeA,SwineA,SRP091614,2016-10-16T15:05:00Z,1
SRR4425660,OTHER,252,15138066384,PRJNA339554,SAMN05597105,Metagenome or environmental,5417512144,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247586,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeB,"pre-sequencing capture of resistance and virulence genes, standard library prep",PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeB,SwineB,SRP091614,2016-10-16T14:51:00Z,1
SRR4425661,OTHER,252,13788956664,PRJNA339554,SAMN05597106,Metagenome or environmental,4921637720,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247587,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeC,"pre-sequencing capture of resistance and virulence genes, standard library prep",PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeC,SwineC,SRP091614,2016-10-16T14:47:00Z,1
SRR4425662,OTHER,252,17746459164,PRJNA339554,SAMN05597107,Metagenome or environmental,6284057779,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247588,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeD,"pre-sequencing capture of resistance and virulence genes, standard library prep",PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeD,SwineD,SRP091614,2016-10-16T14:56:00Z,1
SRR4425663,OTHER,252,16679861604,PRJNA339554,SAMN05597108,Metagenome or environmental,6048618605,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247589,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeA,"pre-sequencing capture of resistance and virulence genes, standard library prep",PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeA,WWTPA,SRP091614,2016-10-16T14:57:00Z,1
SRR4425664,OTHER,252,14477796648,PRJNA339554,SAMN05597109,Metagenome or environmental,5145231178,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247590,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeB,"pre-sequencing capture of resistance and virulence genes, standard library prep",PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeB,WWTPB,SRP091614,2016-10-16T14:52:00Z,1
SRR4425665,OTHER,252,16913681316,PRJNA339554,SAMN05597110,Metagenome or environmental,6106191859,COLORADO STATE UNIVERSITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2247591,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeC,"pre-sequencing capture of resistance and virulence genes, standard library prep",PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeC,WWTPC,SRP091614,2016-10-16T15:06:00Z,1
