"","Observed","Shannon","Simpson","InvSimpson","Sample","ShortID","Index","Dilution","SampleGroup_letter","OriginalSample","LIbraryType","Kit","InputDNA","SampleGroup","Raw_reads","AMR_hits","Type"
"A_A01",362,4.77201033917522,0.976295346458141,42.1858095598883,"A_A01","A_A1","G01","1:2 dilution","A","AFe9","XT","XT","200ng","Avian fecal",52537176,1245281,"TE"
"A_A02",392,4.91793129282113,0.981932174141491,55.3470023361469,"A_A02","A_A2","H01","1:5 dilution","A","AFe20","XT","XT","200ng","Avian fecal",26006029,1220807,"TE"
"A_A03",373,4.92052301420628,0.980878533568635,52.2972442301662,"A_A03","A_A3","B02","1:5 dilution","A","AFe25","XT","XT","200ng","Avian fecal",23376799,1125488,"TE"
"A_A05",360,4.76557939006828,0.975865561398086,41.4345664506445,"A_A05","A_A5","A05","1:3 dilution","A","AFe9","XT","XT","400ng","Avian fecal",37466601,1211756,"TE"
"A_A06",416,4.89552748591417,0.980456303191113,51.1673922174887,"A_A06","A_A6","D05","1:5 dilution","A","AFe20","XT","XT","400ng","Avian fecal",35735680,1361429,"TE"
"A_A07",397,4.92681335297864,0.981281046047931,53.4217885550944,"A_A07","A_A7","E05","1:5 dilution","A","AFe25","XT","XT","400ng","Avian fecal",35978034,1264286,"TE"
"A_A08",366,4.81456682464573,0.978875445053514,47.3382754113991,"A_A08","A_A8","H05","1:5 dilution","A","AFe36","XT","XT","400ng","Avian fecal",37491327,1379975,"TE"
"A_A09",369,4.78098603334794,0.976367373961316,42.3143834444424,"A_A09","A_A9","G08","Standard","A","AFe9","XT","XT","800ng","Avian fecal",34406245,1222170,"TE"
"A_A10",411,4.89770475940441,0.980691460761574,51.79055689567,"A_A10","A_A10","H08","1:3 dilution","A","AFe20","XT","XT","800ng","Avian fecal",32243203,1345477,"TE"
"A_A11",393,4.92067054087879,0.981358645213358,53.6441697207846,"A_A11","A_A11","A09","1:3 dilution","A","AFe25","XT","XT","800ng","Avian fecal",32081209,1239996,"TE"
"A_A12",369,4.81494874253924,0.979058312850373,47.7516445000386,"A_A12","A_A12","B09","1:5 dilution","A","AFe36","XT","XT","800ng","Avian fecal",34294594,1376027,"TE"
"A_A13",348,4.69543889131469,0.974095256343361,38.6029683696071,"A_A13","A_A13","E01","1:2 dilution","A","AFe9","XT_HS","XT HS","200ng","Avian fecal",28450918,1049402,"TE"
"A_A14",386,4.85088735839525,0.980116364433056,50.2926135732685,"A_A14","A_A14","F01","1:3 dilution","A","AFe20","XT_HS","XT HS","200ng","Avian fecal",31300350,1221284,"TE"
"A_A15",371,4.86425502253478,0.980023599356185,50.0590680889063,"A_A15","A_A15","G01","1:3 dilution","A","AFe25","XT_HS","XT HS","200ng","Avian fecal",27719099,1156904,"TE"
"A_A16",357,4.74874446987627,0.977623290881627,44.6893238281819,"A_A16","A_A16","H01","1:2 dilution","A","AFe36","XT_HS","XT HS","200ng","Avian fecal",34320266,1311273,"TE"
"A_A17",350,4.71284438363341,0.974855670345121,39.7703980867888,"A_A17","A_A17","E03","Standard","A","AFe9","XT_HS","XT HS","400ng","Avian fecal",32942994,1110339,"TE"
"A_A18",384,4.8470443342381,0.980411291491139,51.0498177839356,"A_A18","A_A18","F03","1:2 dilution","A","AFe20","XT_HS","XT HS","400ng","Avian fecal",25958507,1214931,"TE"
"A_A19",355,4.86327066647097,0.980183168656878,50.462154250865,"A_A19","A_A19","G03","1:2 dilution","A","AFe25","XT_HS","XT HS","400ng","Avian fecal",22740354,1085586,"TE"
"A_A20",352,4.75198792825641,0.977805587888706,45.0563860392195,"A_A20","A_A20","H03","1:2 dilution","A","AFe36","XT_HS","XT HS","400ng","Avian fecal",30749787,1280193,"TE"
"A_A21",351,4.72332907390529,0.975408650893607,40.6647067500677,"A_A21","A_A21","G01","Standard","A","AFe9","XT_HS","XT HS","800ng","Avian fecal",32021444,1112350,"TE"
"A_A22",390,4.84728383513772,0.98029020394408,50.7361921535267,"A_A22","A_A22","H01","1:2 dilution","A","AFe20","XT_HS","XT HS","800ng","Avian fecal",31258243,1268315,"TE"
"A_A23",356,4.86916755263436,0.980235220615378,50.595049939087,"A_A23","A_A23","A02","1:2 dilution","A","AFe25","XT_HS","XT HS","800ng","Avian fecal",20076547,1050693,"TE"
